Country,Happiness Rank,Happiness Score,GDP per Capita,Social Support,Healthy Life Expectancy,Freedom to Make Life Choices,Perceptions of Corruption,Generosity
Guinea,150,3.656,0.174,0.465,0.24,0.377,0.121,0.287
Ivory Coast,151,3.655,0.465,0.771,0.152,0.469,0.179,0.202
Burkina Faso,152,3.587,0.258,0.852,0.271,0.395,0.128,0.217
Afghanistan,153,3.575,0.32,0.303,0.303,0.234,0.097,0.365
Rwanda,154,3.465,0.222,0.774,0.429,0.592,0.552,0.226
Benin,155,3.34,0.287,0.354,0.319,0.484,0.08,0.183
Syria,156,3.006,0.663,0.475,0.722,0.157,0.189,0.472
Burundi,157,2.905,0.015,0.416,0.224,0.118,0.101,0.197
Togo,158,2.839,0.209,0.14,0.284,0.365,0.107,0.167
Denmark,1,7.526,1.442,1.164,0.795,0.579,0.445,0.362
Switzerland,2,7.509,1.527,1.145,0.863,0.586,0.412,0.281
Iceland,3,7.501,1.427,1.183,0.867,0.566,0.15,0.477
Norway,4,7.498,1.577,1.127,0.796,0.596,0.358,0.379
Finland,5,7.413,1.406,1.135,0.811,0.571,0.41,0.255
Canada,6,7.404,1.44,1.096,0.828,0.574,0.313,0.448
Netherlands,7,7.339,1.465,1.029,0.812,0.552,0.299,0.474
New Zealand,8,7.334,1.361,1.173,0.831,0.581,0.419,0.494
Australia,9,7.313,1.444,1.105,0.851,0.568,0.323,0.474
Sweden,10,7.291,1.452,1.088,0.831,0.582,0.409,0.383
Israel,11,7.267,1.338,0.995,0.849,0.364,0.087,0.323
Austria,12,7.119,1.45,1.084,0.806,0.544,0.213,0.329
United States,13,7.104,1.508,1.048,0.779,0.482,0.149,0.411
Costa Rica,14,7.087,1.069,1.022,0.761,0.552,0.105,0.226
Puerto Rico,15,7.039,1.359,1.081,0.778,0.468,0.123,0.222
Germany,16,6.994,1.448,1.098,0.815,0.535,0.286,0.305
Brazil,17,6.952,1.088,1.039,0.614,0.404,0.142,0.158
Belgium,18,6.929,1.425,1.052,0.82,0.514,0.262,0.242
Ireland,19,6.907,1.483,1.162,0.815,0.54,0.298,0.45
Luxembourg,20,6.871,1.698,1.04,0.845,0.549,0.353,0.276
Mexico,21,6.778,1.115,0.715,0.711,0.377,0.184,0.117
Singapore,22,6.739,1.646,0.868,0.947,0.488,0.47,0.327
United Kingdom,23,6.725,1.403,1.087,0.81,0.5,0.274,0.502
Chile,24,6.705,1.217,0.906,0.819,0.378,0.115,0.316
Panama,25,6.701,1.183,0.989,0.708,0.489,0.084,0.242
Argentina,26,6.65,1.151,1.066,0.697,0.423,0.073,0.11
Czech Republic,27,6.596,1.309,1.008,0.764,0.414,0.04,0.099
United Arab Emirates,28,6.573,1.574,0.871,0.73,0.562,0.356,0.266
Uruguay,29,6.545,1.182,1.031,0.722,0.544,0.214,0.181
Malta,30,6.488,1.308,1.099,0.803,0.55,0.176,0.562
Colombia,31,6.481,1.03,1.022,0.597,0.447,0.054,0.156
France,32,6.478,1.395,1.005,0.838,0.466,0.178,0.122
Thailand,33,6.474,1.089,1.045,0.649,0.496,0.028,0.587
Saudi Arabia,34,6.379,1.49,0.848,0.593,0.379,0.3,0.155
Taiwan,34,6.379,1.397,0.926,0.796,0.324,0.066,0.255
Qatar,36,6.375,1.824,0.88,0.717,0.567,0.48,0.324
Spain,37,6.361,1.343,1.129,0.879,0.375,0.061,0.177
Algeria,38,6.355,1.053,0.833,0.618,0.21,0.162,0.07
Guatemala,39,6.324,0.835,0.871,0.54,0.504,0.087,0.288
Suriname,40,6.269,1.097,0.779,0.509,0.522,0.127,0.167
Kuwait,41,6.239,1.617,0.878,0.636,0.432,0.237,0.16
Bahrain,42,6.218,1.44,0.944,0.657,0.474,0.258,0.171
Trinidad and Tobago,43,6.168,1.326,0.986,0.526,0.485,0.012,0.319
Venezuela,44,6.084,1.134,1.033,0.619,0.198,0.083,0.042
Slovakia,45,6.078,1.28,1.083,0.704,0.234,0.029,0.138
El Salvador,46,6.068,0.874,0.81,0.596,0.373,0.106,0.089
Malaysia,47,6.005,1.251,0.88,0.624,0.39,0.091,0.415
Nicaragua,48,5.992,0.694,0.895,0.652,0.466,0.163,0.298
Uzbekistan,49,5.987,0.736,1.168,0.502,0.608,0.283,0.343
Italy,50,5.977,1.355,1.042,0.851,0.188,0.026,0.167
Ecuador,51,5.976,0.973,0.86,0.686,0.403,0.18,0.101
Belize,52,5.956,0.876,0.687,0.456,0.512,0.108,0.237
Japan,53,5.921,1.38,1.061,0.915,0.468,0.19,0.102
Kazakhstan,54,5.919,1.229,0.955,0.574,0.405,0.111,0.15
Moldova,55,5.897,0.692,0.831,0.523,0.252,0.019,0.2
